Age Group,Year,NAME,Population,Minority,Minority %,Source
Total,2023,Cheatham County,42254,4529,10.718511856865621,"2023 Population Estimates, Census Bureau"
Total,2023,Davidson County,712334,323504,45.414650992371556,"2023 Population Estimates, Census Bureau"
Total,2023,Dickson County,56729,6946,12.244178462514762,"2023 Population Estimates, Census Bureau"
Total,2023,Houston County,8393,835,9.948766829500775,"2023 Population Estimates, Census Bureau"
Total,2023,Humphreys County,19209,1767,9.198813056379821,"2023 Population Estimates, Census Bureau"
Total,2023,Montgomery County,239872,97042,40.45574306296692,"2023 Population Estimates, Census Bureau"
Total,2023,Robertson County,76776,15896,20.704386787537775,"2023 Population Estimates, Census Bureau"
Total,2023,Rutherford County,367101,131192,35.73730390274066,"2023 Population Estimates, Census Bureau"
Total,2023,Stewart County,14222,1304,9.16889326395725,"2023 Population Estimates, Census Bureau"
Total,2023,Sumner County,207994,41623,20.011634951008205,"2023 Population Estimates, Census Bureau"
Total,2023,Trousdale County,12271,2244,18.28701817292804,"2023 Population Estimates, Census Bureau"
Total,2023,Williamson County,264460,46754,17.679044089843455,"2023 Population Estimates, Census Bureau"
Total,2023,Wilson County,163674,32304,19.736793870743064,"2023 Population Estimates, Census Bureau"
Total,2023,GNRC,2185289,705940,32.30419409057566,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Cheatham County,10221,584,5.713726641228843,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Davidson County,132536,44752,33.76592020281282,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Dickson County,13517,942,6.969001997484649,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Houston County,2346,166,7.075873827791987,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Humphreys County,5346,278,5.200149644594089,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Montgomery County,35819,9953,27.786928724978367,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Robertson County,17145,1797,10.48118985126859,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Rutherford County,61027,12285,20.130434070165666,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Stewart County,4050,308,7.604938271604938,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Sumner County,48881,5108,10.449868046889385,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Trousdale County,2221,315,14.182800540297164,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Williamson County,56938,5709,10.026695704099195,"2023 Population Estimates, Census Bureau"
60 and Older,2023,Wilson County,36858,3736,10.136198382983341,"2023 Population Estimates, Census Bureau"
60 and Older,2023,GNRC,426905,85933,20.129302772279548,"2023 Population Estimates, Census Bureau"
